text,label,clean_text
"At the point today where if someone says something remotely kind to me, a waterfall will burst out of my eyes",anger,at the point today where if someone says something remotely kind to me a waterfall will burst out of my eyes
@CorningFootball  IT'S GAME DAY!!!!      T MINUS 14:30  #relentless,anger,corningfootball  its game day      t minus   relentless
This game has pissed me off more than any other game this year. My blood is boiling! Time to turn it off! #STLCards,anger,this game has pissed me off more than any other game this year my blood is boiling time to turn it off stlcards
@spamvicious I've just found out it's Candice and not Candace. She can pout all she likes for me ðŸ˜,anger,spamvicious ive just found out its candice and not candace she can pout all she likes for me ðÿ˜
@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I ðŸ™ˆ  #soreloser,anger,moocowward mrsajhargreaves  garybarlow if he cant come to my muma  after  tweets then why should i ðÿ™ˆ  soreloser
@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I ðŸ™ˆ #bitter #soreloser,anger,moocowward mrsajhargreaves  garybarlow if he cant come to my muma  after  tweets then why should i ðÿ™ˆ bitter soreloser
wanna go home and focus up on this game . Don't wanna rage at all,anger,wanna go home and focus up on this game  dont wanna rage at all
@virginmedia I've been disconnected whilst on holiday ðŸ˜¤ but I don't move house until the 1st October ðŸ¤” #furious,anger,virginmedia ive been disconnected whilst on holiday ðÿ˜¤ but i dont move house until the  october ðÿ¤” furious
@virginmedia I've been disconnected whilst on holiday ðŸ˜¤ but I don't move house until the 1st October ðŸ¤” ,anger,virginmedia ive been disconnected whilst on holiday ðÿ˜¤ but i dont move house until the  october ðÿ¤” 
I wanna see you smile I don't wanna see you make a frown,anger,i wanna see you smile i dont wanna see you make a frown
@shae_caitlin ur road rage gives me anxiety.,anger,shaecaitlin ur road rage gives me anxiety
@eMilsOnWheels I'm furious ðŸ˜©ðŸ˜©ðŸ˜©,anger,emilsonwheels im furious ðÿ˜©ðÿ˜©ðÿ˜©
@EtherealMystic_ She was winning this war that had been raging on inside of his mind. The desire and love all rolling into something he -,anger,etherealmystic she was winning this war that had been raging on inside of his mind the desire and love all rolling into something he 
They gonna give this KKk police bitch the minimum sentence..just wattch #angry,anger,they gonna give this kkk police bitch the minimum sentencejust wattch angry
They gonna give this KKk police bitch the minimum sentence..just wattch ,anger,they gonna give this kkk police bitch the minimum sentencejust wattch 
I just got murdered in madden. ðŸ¤•,anger,i just got murdered in madden ðÿ¤•
My nephew sees that i have a frown on my face and he tells me 'you're  beautiful '!ðŸ˜¢ðŸ’žðŸ˜©,anger,my nephew sees that i have a frown on my face and he tells me youre  beautiful ðÿ˜¢ðÿ’žðÿ˜©
@CUTEFUNNYANIMAL @luvcaps19 My sister's dog does this. I think it's because she knows it'll provoke a reaction,anger,cutefunnyanimal  my sisters dog does this i think its because she knows itll provoke a reaction
new madden 16 video was gonna be up but xbox is being an ahole and not going through ðŸ™„ðŸ™„ #struggles,anger,new madden  video was gonna be up but xbox is being an ahole and not going through ðÿ™„ðÿ™„ struggles
"The animosity toward Hillary comes from conspiracy theories and perception, the animosity toward Trump is based on what he says and does.",anger,the animosity toward hillary comes from conspiracy theories and perception the animosity toward trump is based on what he says and does
Yay bmth canceled Melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm #sad #angry,anger,yay bmth canceled melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm sad angry
Yay bmth canceled Melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm #sad ,anger,yay bmth canceled melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm sad 
I watch Amyah throw temper tantrums when she gets mad at something and I'm just like damnit that is me and I can't do nothing but laugh ðŸ˜…,anger,i watch amyah throw temper tantrums when she gets mad at something and im just like damnit that is me and i cant do nothing but laugh ðÿ˜…
@crystaldiamondo impossible to say. We can only hope that I donâ€™t unwittingly trigger her ferocious side again. Hell hath no fury..,anger,crystaldiamondo impossible to say we can only hope that i donâ€™t unwittingly trigger her ferocious side again hell hath no fury
@SportingTommo @ASFCofficial no doubt we are going to struggle this year. But moments like that from Payet take the sting out of it.,anger,sportingtommo asfcofficial no doubt we are going to struggle this year but moments like that from payet take the sting out of it
Autocorrect changes ''em' to 'me' which I resent greatly,anger,autocorrect changes em to me which i resent greatly
Candice on great british bake off with that pout does my head in ðŸ‘ŠðŸ»ðŸ™„,anger,candice on great british bake off with that pout does my head in ðÿ‘šðÿ»ðÿ™„
Point scorning and fury at Labor does nothing to address long term detention and the need to resettle #asylumseekers from #manus and #Nauru,anger,point scorning and fury at labor does nothing to address long term detention and the need to resettle asylumseekers from manus and nauru
HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry #bitter #bbmichelle,anger,huge congratulations to nicole winning big brother  bbnicole  sorry not sorry bitter bbmichelle
HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry  #bbmichelle,anger,huge congratulations to nicole winning big brother  bbnicole  sorry not sorry  bbmichelle
Fast and furious 6 this Monday 10 pm on mbc 2 ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜,anger,fast and furious  this monday  pm on mbc  ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜ðÿ˜
"Not sorry for that burst of anti #Allo spam, fuck any messaging app launching in 2016, without encryption on by default.",anger,not sorry for that burst of anti allo spam fuck any messaging app launching in  without encryption on by default
So I'm not being shady but one of Jongdae's ex rumoured girlfriends is going on WGM I'm not saying I'm over joyed but I'm over joyed #bitter,anger,so im not being shady but one of jongdaes ex rumoured girlfriends is going on wgm im not saying im over joyed but im over joyed bitter
So I'm not being shady but one of Jongdae's ex rumoured girlfriends is going on WGM I'm not saying I'm over joyed but I'm over joyed ,anger,so im not being shady but one of jongdaes ex rumoured girlfriends is going on wgm im not saying im over joyed but im over joyed 
At work yesterday some old cunt couple told me their coffees were cold and wanted a refund so i put my finger in it front of them angrily,anger,at work yesterday some old cunt couple told me their coffees were cold and wanted a refund so i put my finger in it front of them angrily
When you want to say something so bad but can't ! #furious ðŸ˜¤,anger,when you want to say something so bad but cant  furious ðÿ˜¤
â€œCompetition is suppose to motivate you to do better everytime not to be bitter all the timeâ€ -De philosopher DJ Kyos \n#quote #success #CSGO,anger,â€œcompetition is suppose to motivate you to do better everytime not to be bitter all the timeâ€ de philosopher dj kyos nquote success csgo
@TheRevAl please tell us why 'protesting' injustice requires #burning #beating and #looting terrible optics #toussaintromain is true leader!,anger,thereval please tell us why protesting injustice requires burning beating and looting terrible optics toussaintromain is true leader
@XboxMAD @RobotBrush Ballmer will be furious. Another delivery lost...,anger,xboxmad robotbrush ballmer will be furious another delivery lost
Stop tracking back you fucking potato faced cunt errrr infuriating ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜  #angry #Rooney #mufc,anger,stop tracking back you fucking potato faced cunt errrr infuriating ðÿ˜ ðÿ˜ ðÿ˜ ðÿ˜ ðÿ˜  angry rooney mufc
Stop tracking back you fucking potato faced cunt errrr infuriating ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜   #Rooney #mufc,anger,stop tracking back you fucking potato faced cunt errrr infuriating ðÿ˜ ðÿ˜ ðÿ˜ ðÿ˜ ðÿ˜   rooney mufc
@TheBarmyArmy looking forward to div 2 next year @AndyBarmyArmy? #revenge #leictershireaway #therey,anger,thebarmyarmy looking forward to div  next year andybarmyarmy revenge leictershireaway therey
